	Statement	Label	Primary_Evidence	Secondary_Evidence
0aac921d-b930-4a9f-9f90-507374f67828	Patients in NCT02953860 receive more mg of Enzalutamide than Fulvestrant over the course of the study.	Entailment	  Fulvestrant with Enzalutamide: 500mg of Fulvestrant will be given IM on days 1, 15, 28, then every 4 weeks as per standard of care (SOC) and 160mg of Enzalutamide will be given PO daily. Patients will receive a tumor biopsy at the start of treatment and 4 weeks after the start of treatment, with an optional 3rd biopsy at the end treatment.	
e523e906-8df2-4e85-9fa2-7d44040a1318	Patients in NCT02953860 receive less mg of Enzalutamide than Fulvestrant on a weekly basis.	Contradiction	  Fulvestrant with Enzalutamide: 500mg of Fulvestrant will be given IM on days 1, 15, 28, then every 4 weeks as per standard of care (SOC) and 160mg of Enzalutamide will be given PO daily. Patients will receive a tumor biopsy at the start of treatment and 4 weeks after the start of treatment, with an optional 3rd biopsy at the end treatment.	
dd7ea690-88e7-4f64-bdd9-44203bffc673	Patients in NCT01830933 do not receive any extra medication for the study, whereas in NCT01224678 they are given an oral medication.	Entailment	INTERVENTION 1:   Usual Care  Usual Care is the comparison Clinic Patients, where there is no change in their standard or usual care.INTERVENTION 2:   BreastCARE Intervention  Intervention Clinic Patients: The participants will answer questions on the tablet-PC to calculate their breast cancer risk.  Intervention Patient Report. Once the patient completes the BreastCare Computer survey, the program will immediately generate a personal feedback report containing information about her risk factors and recommendations to reduce her risk. This report will be printed and given to the patients before she meets with her doctor.  BreastCARE : The physician will receive a physician report that contains information similar to the patient report.	  Patients receive oral vitamin D (2000 IU) once daily for 12 months.
f0e1981f-3863-4387-b2df-50ec395ff7bc	Patients in NCT01830933 and NCT01224678 are administered daily oral medication.	Contradiction	INTERVENTION 1:   Usual Care  Usual Care is the comparison Clinic Patients, where there is no change in their standard or usual care.INTERVENTION 2:   BreastCARE Intervention  Intervention Clinic Patients: The participants will answer questions on the tablet-PC to calculate their breast cancer risk.  Intervention Patient Report. Once the patient completes the BreastCare Computer survey, the program will immediately generate a personal feedback report containing information about her risk factors and recommendations to reduce her risk. This report will be printed and given to the patients before she meets with her doctor.  BreastCARE : The physician will receive a physician report that contains information similar to the patient report.	  Patients receive oral vitamin D (2000 IU) once daily for 12 months.
e3ebe653-1692-4107-a6ce-5ba91347a021	Intervention 2 of NCT01224678 resulted in a lower percentage in Mammographic Density than intervention 1.	Entailment	Outcome Measurement:   Percent Change (Between Baseline and Month 12) in Mammographic Density by the Boyd Method Compared Between Arms  To evaluate change in mammographic density using the Boyd method after one year of vitamin D supplementation compared to placebo in premenopausal women. The percent change in breast density will be reported here.  Time frame: 12 monthsResults 1:   Arm/Group Title: Placebo  Arm/Group Description: Patients receive oral placebo once daily for 12 months.  Overall Number of Participants Analyzed: 46  Mean (Standard Deviation)  Unit of Measure: percent change  -3.4         (7.1)Results 2:   Arm/Group Title: Vitamin D  Arm/Group Description: Patients receive oral vitamin D (2000 IU) once daily for 12 months.  Overall Number of Participants Analyzed: 40  Mean (Standard Deviation)  Unit of Measure: percent change  -1.4         (11.9)	
b7af90cd-02e4-4580-a4dc-112feee6cd2b	Intervention 2 of NCT01224678 resulted in a lower percentage in tumor diameter than intervention 1.	Contradiction	Outcome Measurement:   Percent Change (Between Baseline and Month 12) in Mammographic Density by the Boyd Method Compared Between Arms  To evaluate change in mammographic density using the Boyd method after one year of vitamin D supplementation compared to placebo in premenopausal women. The percent change in breast density will be reported here.  Time frame: 12 monthsResults 1:   Arm/Group Title: Placebo  Arm/Group Description: Patients receive oral placebo once daily for 12 months.  Overall Number of Participants Analyzed: 46  Mean (Standard Deviation)  Unit of Measure: percent change  -3.4         (7.1)Results 2:   Arm/Group Title: Vitamin D  Arm/Group Description: Patients receive oral vitamin D (2000 IU) once daily for 12 months.  Overall Number of Participants Analyzed: 40  Mean (Standard Deviation)  Unit of Measure: percent change  -1.4         (11.9)	
44ded43e-6653-4dac-92de-0efa60572c07	NCT03283553 and NCT01646346 do not use topical medications in their studies.	Entailment	INTERVENTION 1:   4D Conformal Image-Guided Partial Breast RT  This is a single arm trial designed to look at the results in women treated with partial breast irradiation twice daily for 5 days.  4D Conformal Image-Guided Partial Breast RT: External beam partial breast radiation to target a portion of the breast twice a day for 5 days.	INTERVENTION 1:   Multicomponent Intervention  1.) A one-page paper-pencil agenda setting checklist completed immediately before a regularly scheduled medical oncology visit to elicit and align patient and companion perspectives regarding issues to discuss with the provider, and to stimulate discussion about the role of the companion in the visit, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes.INTERVENTION 2:   Usual Care  Care as usual with the medical oncologist.
52e97d06-6844-4529-a182-4ec9cc74ab73	NCT03283553 and NCT01646346 both use irradiation techniques in their studies.	Contradiction	INTERVENTION 1:   4D Conformal Image-Guided Partial Breast RT  This is a single arm trial designed to look at the results in women treated with partial breast irradiation twice daily for 5 days.  4D Conformal Image-Guided Partial Breast RT: External beam partial breast radiation to target a portion of the breast twice a day for 5 days.	INTERVENTION 1:   Multicomponent Intervention  1.) A one-page paper-pencil agenda setting checklist completed immediately before a regularly scheduled medical oncology visit to elicit and align patient and companion perspectives regarding issues to discuss with the provider, and to stimulate discussion about the role of the companion in the visit, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes.INTERVENTION 2:   Usual Care  Care as usual with the medical oncologist.
5cdf894f-284c-41e0-9279-1e7c57d26bbe	NCT03283553 has two cohorts.	Entailment	INTERVENTION 1:   Multicomponent Intervention  1.) A one-page paper-pencil agenda setting checklist completed immediately before a regularly scheduled medical oncology visit to elicit and align patient and companion perspectives regarding issues to discuss with the provider, and to stimulate discussion about the role of the companion in the visit, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes.INTERVENTION 2:   Usual Care  Care as usual with the medical oncologist.	
0554f48f-1f40-4f3c-90af-c089369a0921	NCT03283553 and NCT03283553 have a different number of cohorts.	Contradiction	INTERVENTION 1:   Multicomponent Intervention  1.) A one-page paper-pencil agenda setting checklist completed immediately before a regularly scheduled medical oncology visit to elicit and align patient and companion perspectives regarding issues to discuss with the provider, and to stimulate discussion about the role of the companion in the visit, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes.INTERVENTION 2:   Usual Care  Care as usual with the medical oncologist.	INTERVENTION 1:   Palbociclib+Letrozole India Cohort  Participants received Palbociclib orally once a day at 125 mg for 21 days followed by 7 days off treatment ofr each 28-day cycle. Participants received Letrozole orally at 2.5 mg once daily as continuous daily dosing schedule according to product labeling and in compliance with its local prescribing informationINTERVENTION 2:   Palbociclib+Letrozole Australia Cohort  Participants received Palbociclib orally once a day at 125 mg for 21 days followed by 7 days off treatment for each 28-day cycle. Participants received Letrozole orally at 2.5 mg once daily as continuous daily dosing schedule according to product labeling and in compliance with its local prescribing information
